number,subject
1,"Les acides nucléiques : des vecteurs d'information"
2,"Les ARN : des vecteurs d'information"
3,"Diversité des macromolécules glucidiques"
4,"Les molécules séquencées"
5,"Les acides aminés"
6,"Diversité des glucides, diversité de leurs fonctions"
7,"La conformation des protéines : origine et conséquences"
8,"Les macromolécules"
9,"L’ADN : relations structure - fonction"
10,"L’état macromoléculaire"
11,"Les supports moléculaires de l’information génétique"
12,"Qu'est ce qu'une protéine ?"
13,"Monomères et polymères"
14,"L'eau dans la cellule"
15,"Les nucléotides et leurs dérivés"
16,"Les protéines et leurs ligands"
17,"les membranes plasmiques des cellules : interfaces de communication"
18,"organisation des membranes et communication"
19,"organisation des membranes et conversion d'énergie"
20,"diversité des protéines membranaires"
21,"diversité des fonctions de membranes et diversité de leurs protéines"
22,"protéines membranaires et fonctions des membranes"
23,"La membrane plasmique, une interface entre deux milieux"
24,"Lipides et vie cellulaire"
25,"Membranes et compartimentation cellulaire"
26,"La membrane plasmique : relations structure - fonction"
27,"Comparaison des matrices extracellulaires animale et végétale"
28,"L'entrée des molécules dans la cellule"
29,"Les membranes et les ions"
30,"Les échanges transmembranaires dans la vie des cellules"
31,"Canaux ioniques et communication"
32,"Fonctions des protéines dans la membrane plasmique"
33,"les caractéristiques de la communication nerveuse"
34,"Le passage des ions minéraux à travers les membranes"
35,"Perméabilité ionique et potentiels électriques transmembranaires"
36,"Importance des membranes dans la vie de la cellule"
37,"Les matrices extracellulaires"
38,"la diversité des enzymes et son importance dans le fonctionnement des cellules"
39,"Relation entre nature protéique et fonction des enzymes"
40,"Enzymes et contrôle du fonctionnement cellulaire"
41,"la diversité des enzymes"
42,"enzymes et énergie"
43,"les plastes : des compartiments cellulaires"
44,"le chloroplaste, un exemple de compartimentation"
45,"oxydo-réductions et métabolisme cellulaire"
46,"code et décodage de l'information génétique"
47,"unité et diversité des protéomes cellulaires"
48,"diversité des protéomes cellulaires"
49,"L'ATP au cœur des processus énergétiques de la cellule"
50,"les utilisations énergétiques de l'ATP : des transferts et des conversions"
51,"Plastes, mitochondries et conversions énergétiques"
52,"les conversions d'énergie"
53,"conversion d'énergie et autotrophie à différentes échelles d'étude"
54,"importance biologique des transferts d'électrons dans le vivant"
55,"l'autotrophie vis à vis du carbone des végétaux chlorophylliens"
56,"les organismes autotrophes d'un écosystème aérien"
57,"le contrôle du fonctionnement des cellules"
58,"l'ATP dans la cellule"
59,"relation organisation / fonction d'une mitochondrie"
60,"fonctionnement des cellules animales et hétérotrophie des organismes animaux"
61,"la fixation du carbone minéral"
62,"le glucose dans un végétal vert : origine et devenir"
63,"le glucose dans un écosystème terrestre"
64,"Stockage et déstockage de la matière organique chez les animaux"
65,"stockage/déstockage de la matière organique chez les êtres vivants"
66,"stockage / déstockage de la matière organique chez les végétaux"
67,"l'hétérotrophie : ses fondements cellulaires et sa place dans le cycle du C"
68,"l'autotrophie : ses fondements cellulaires et sa place dans le cycle du C"
69,"le glucose dans la cellule végétale"
70,"Le glucose dans la cellule animale"
71,"Les végétaux verts : producteurs de matière organique"
72,"les variations de l’activité enzymatique"
73,"Transferts et conversions d'énergie dans la respiration et la photosynthèse"
74,"ATP et couplages énergétiques"
75,"Du dioxyde de carbone atmosphérique à une molécule d'amidon dans une cellule de racine"
76,"Comparaison mitochondrie/chloroplaste"
77,"Les coenzymes d’oxydoréduction dans le métabolisme énergétique"
78,"Importance fonctionnelle de la compartimentation des organites énergétiques (mitochondries et chloroplastes)"
79,"Les différents modes de formation de l'ATP dans les grandes voies du"
80,"métabolisme énergétique"
81,"Systèmes membranaires et conversion d’énergie"
82,"Les changements de forme des protéines"
83,"Les rôles de l'ATP dans la cellule"
84,"Qu'est ce qu'une enzyme ?"
85,"la compartimentation cellulaire des eucaryotes"
86,"compartimentation et division du travail au sein de la cellule"
87,"unité et diversité de la compartimentation des cellules eucaryotes"
88,"unité et diversité de l'organisation des cellules du vivant"
89,"les cellules spécialisées"
90,"les cellules végétales"
91,"L'organisation de la cellule eucaryote"
92,"Qu’est-ce qu’une cellule eucaryote ?"
93,"Les glucides et la cellule végétale"
94,"Le cytosquelette et son rôle dans la vie cellulaire"
95,"Qu'est ce qu'une cellule ?"
96,"l'alimentation des animaux"
97,"la réalisation d'une fonction par les organismes animaux : L'alimentation"
98,"d'un aliment à l'ATP..."
99,"Les Angiospermes, des systèmes thermodynamiques ouverts"
100,"les aliments, source de matière et d'énergie de l'animal"
101,"Les fonctions de nutrition des animaux"
102,"Les métazoaires, des systèmes thermodynamiques ouverts"
103,"En partant de l'exemple de la locomotion, montrez comment cette fonction"
104,"biologique est en interaction avec les autres fonctions de l'organisme."
105,"En partant de l'exemple de la nutrition, montrez comment cette fonction"
106,"interagit avec les autres fonctions de l'organisme."
107,"Reproduction et milieux de vie chez les animaux"
108,"les échanges (gazeux) entre les êtres vivants et le milieu aérien"
109,"La vie animale en milieu aérien"
110,"La vie en milieu aérien : comparaison des végétaux et des animaux"
111,"Les organismes animaux dans leur environnement"
112,"origine et devenir du glucose chez les animaux"
113,"respiration et milieu de vie"
114,"L'intégration des cellules dans un organisme animal"
115,"Respirer dans l’air"
116,"caractères fondamentaux et diversité des surfaces d'échanges chez les Métazoaires"
117,"La respiration : de la cellule à l'organisme"
118,"diversité et spécialisation des différents segments vasculaires des appareils circulatoires"
119,"CO2 et fonctionnement des organismes animaux"
120,"les transferts et échanges de gaz respiratoires chez les organismes animaux"
121,"la distribution du sang dans les organismes animaux"
122,"l'automatisme cardiaque ; un automatisme sous contrôle"
123,"Régulation de la pression artérielle : un processus intégré"
124,"l'approvisionnement des cellules en dioxygène chez les animaux"
125,"relation entre organisation et fonction du cœur"
126,"complémentarité des réactions cardiaques et vasculaires dans l'adaptation de la circulation"
127,"le rythme cardiaque"
128,"à partir de l'exemple de la circulation : montrez ce qu'est une régulation en"
129,"boucle et ce qu'est une adaptation physiologique"
130,"la pression sanguine, ses variations et ses conséquences"
131,"le cœur : organe "autonome" et intégré dans l'organisme"
132,"Les différents segments du circuit sanguin : relations structure - fonction"
133,"Le contrôle de l’activité cardiaque"
134,"Le rôle des artères et des artérioles dans la circulation sanguine"
135,"Respiration et circulation sanguine"
136,"La reproduction : un phénomène cyclique"
137,"la fécondation (au sens large) chez les êtres vivants pluricellulaires : unité diversité…"
138,"Montrer en quoi la fécondation participe au caractère à la fois conservatoire et diversificateur de la reproduction"
139,"Reproduction et dispersion"
140,"développement embryonnaire et mise en place de territoires différenciés"
141,"la chronologie des événements dans le développement embryonnaire"
142,"développement embryonnaire et mise en place d'organes et tissus spécialisés"
143,"induction embryonnaire"
144,"les gènes du développement"
145,"expression des gènes et développement embryonnaire"
146,"communication inter et intracellulaire au cours du développement embryonnaire"
147,"le développement embryonnaire : phénomènes et contrôles spatio-temporels"
148,"reproduction sexuée des végétaux et milieu aérien"
149,"reproduction des végétaux et milieu aérien"
150,"des gamètes à l’œuf chez les êtres vivants"
151,"Le mésoderme : origine, mise en place et évolution"
152,"Multiplication cellulaire et différenciation cellulaire : deux aspects"
153,"fondamentaux du développement d’un organisme pluricellulaire"
154,"Le mésoderme"
155,"La fleur des Angiospermes"
156,"Pollinisation et fécondation chez les Angiospermes"
157,"La mise en place des trois feuillets embryonnaires chez la grenouille"
158,"La fécondation"
159,"unité et diversité des modalités de fécondation"
160,"L'importance du cytoplasme de l'œuf dans le développement embryonnaire"
161,"Les gamètes chez les êtres vivants"
162,"Communications intercellulaire et intracellulaire au cours du développement"
163,"chez les êtres vivants"
164,"Reproduction et milieu de vie"
165,"communications intercellulaire et intracellulaire au cours du développement animal et végétal"
166,"la vie d'un végétal à l'interface air-sol"
167,"variations du fonctionnement d'un végétal aérien au cours d'une journée"
168,"vie des végétaux : êtres vivants fixés"
169,"vie des végétaux : êtres vivants fixés en milieu aérien"
170,"vie des végétaux : êtres vivants fixés à l'interface air/sol"
171,"interdépendance des organes aériens et souterrains des végétaux"
172,"interrelations sol/végétaux"
173,"les végétaux aériens et l'eau"
174,"Le flux hydrique du sol à l'atmosphère chez les Angiospermes"
175,"Le flux hydrique chez les Angiospermes"
